nPar,nB,nT,curTask,curDur,rpr,flw,curPreCueDur,curRpt,preTask,preDur,preRpt,prePreCueDur
3,1,1,reproduction,1.4,0.940906600000062,0.0,,0.940906600000062,,,,
3,1,2,reproduction,0.9,0.8584518999999773,0.0,,0.8584518999999773,reproduction,1.4,0.940906600000062,
3,1,3,reproduction,1.4,0.7880315999999539,0.0,,0.7880315999999539,reproduction,0.9,0.8584518999999773,
3,1,4,reproduction,1.3,0.917364799999973,0.0,,0.917364799999973,reproduction,1.4,0.7880315999999539,
3,1,5,reproduction,0.8,0.9404150999999956,0.0,,0.9404150999999956,reproduction,1.3,0.917364799999973,
3,1,6,following,1.2,0.0,1.105566099999919,1.3,1.105566099999919,reproduction,0.8,0.9404150999999956,
3,1,7,reproduction,0.9,1.1055585999999948,0.0,,1.1055585999999948,following,1.2,1.105566099999919,1.3
3,1,8,following,1.0,0.0,0.9291246000000228,1.4,0.9291246000000228,reproduction,0.9,1.1055585999999948,
3,1,9,following,1.0,0.0,0.7526987999999619,1.3,0.7526987999999619,following,1.0,0.9291246000000228,1.4
3,1,10,reproduction,1.1,0.8473599999999806,0.0,,0.8473599999999806,following,1.0,0.7526987999999619,1.3
3,1,11,following,1.3,0.0,1.2937149999999065,1.2,1.2937149999999065,reproduction,1.1,0.8473599999999806,
3,1,12,reproduction,1.2,0.9174028999999564,0.0,,0.9174028999999564,following,1.3,1.2937149999999065,1.2
3,1,13,reproduction,0.9,1.1761228999999958,0.0,,1.1761228999999958,reproduction,1.2,0.9174028999999564,
3,1,14,following,1.1,0.0,1.070255999999972,1.3,1.070255999999972,reproduction,0.9,1.1761228999999958,
3,1,15,following,1.3,0.0,1.258425500000044,0.8,1.258425500000044,following,1.1,1.070255999999972,1.3
3,1,16,following,0.8,0.0,0.8469046000000162,0.9,0.8469046000000162,following,1.3,1.258425500000044,0.8
3,1,17,reproduction,1.0,0.752715999999964,0.0,,0.752715999999964,following,0.8,0.8469046000000162,0.9
3,1,18,following,0.9,0.0,0.8467822999999726,1.2,0.8467822999999726,reproduction,1.0,0.752715999999964,
3,1,19,reproduction,1.0,0.987950699999942,0.0,,0.987950699999942,following,0.9,0.8467822999999726,1.2
3,1,20,following,1.0,0.0,0.929128700000092,1.1,0.929128700000092,reproduction,1.0,0.987950699999942,
3,1,21,reproduction,1.4,0.9879418000000442,0.0,,0.9879418000000442,following,1.0,0.929128700000092,1.1
3,1,22,following,1.3,0.0,1.1408331999999746,1.0,1.1408331999999746,reproduction,1.4,0.9879418000000442,
3,1,23,following,1.4,0.0,1.2584236000000146,0.9,1.2584236000000146,following,1.3,1.1408331999999746,1.0
3,1,24,reproduction,1.3,1.0820914999999331,0.0,,1.0820914999999331,following,1.4,1.2584236000000146,0.9
