duration,cue,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,fixation.started,fixation.stopped,stimulus_grating.started,stimulus_grating.stopped,cue_word.started,cue_word.stopped,orientation,rpr_onset,rpr_duration,cue2rep_rt,follow_grating.started,follow_grating.stopped,follow_stimuli,follow_key_onset,follow_production,feedback.started,feedback.stopped,iti.started,iti.stopped,BlockInfo.started,BlockInfo.stopped,reproduced_grating.started,Goodbye.started,goodbye_text.started,goodbye_key.started,Goodbye.stopped,goodbye_key.keys,goodbye_key.rt,goodbye_key.duration,participant,gender (M/F),age,date,expName,psychopyVersion,frameRate,expStart,
0.8,following,0,0,0,49,15.129532599999948,,15.129532599999948,15.634040599999935,16.116188500000135,16.915323799999896,17.409282399999938,17.915645299999596,174,0,0,0,18.902963700000328,19.808555999999953,0.9,18.62081820000094,1.176057699998637,19.79701600000044,20.79658879999988,20.796599600000263,21.796294100000523,21.796303200000693,21.796361099999558,,,,,,,,,s08,F,22,2024-12-03_12h01.57.187,seq_tasks_v2023,2023.2.3,85.0071235976218,2024-12-03 12h02.25.947562 +0100,
1.4,reproduction,0,1,1,34,21.807964400000856,,21.807964400000856,22.31368769999972,22.79587569999967,24.195445299999847,24.689425000000483,25.195139200000995,176,25.86567120000109,0.9174021999988327,1.6818243000016082,,,1.2,0,0,26.7834995000012,27.782689100000425,27.7826984000003,28.782396300000983,28.782406000000265,28.782468400000653,25.889054100000067,,,,,,,,s08,F,22,2024-12-03_12h01.57.187,seq_tasks_v2023,2023.2.3,85.0071235976218,2024-12-03 12h02.25.947562 +0100,
1.1,reproduction,0,2,2,31,28.794050500000594,,28.794050500000594,29.29979480000111,29.781980800000383,30.8875349000009,31.381503900000098,31.887235500000315,86,32.69892190000064,0.34103870000035386,1.823006599999644,,,1.2,0,0,33.04031849999956,34.039640599999984,34.03965009999956,35.03935160000037,35.039361400000416,35.03941510000004,32.72230040000068,,,,,,,,s08,F,22,2024-12-03_12h01.57.187,seq_tasks_v2023,2023.2.3,85.0071235976218,2024-12-03 12h02.25.947562 +0100,
1.1,reproduction,0,3,3,3,35.051020299999436,,35.051020299999436,35.55674790000012,36.038960300000326,37.14449070000046,37.63847639999949,38.14418370000021,141,38.732381499999974,0.5175180000005639,1.599481299999752,,,1.4,0,0,39.250332499999786,40.249533000000156,40.24954240000079,41.24924540000029,41.24925509999957,41.24930830000085,38.755785999999716,,,,,,,,s08,F,22,2024-12-03_12h01.57.187,seq_tasks_v2023,2023.2.3,85.0071235976218,2024-12-03 12h02.25.947562 +0100,
1.3,reproduction,0,4,4,5,41.260908800000834,,41.260908800000834,41.766630399999485,42.2488486000002,43.55433360000097,44.048303400000805,44.554031900001064,102,45.165741400000115,0.9644614000008005,1.6230384999998932,,,1.2999999999999998,0,0,46.13061639999978,47.12981899999977,47.129828400000406,48.12952399999995,48.12953370000105,48.12958729999991,45.189136700000745,,,,,,,,s08,F,22,2024-12-03_12h01.57.187,seq_tasks_v2023,2023.2.3,85.0071235976218,2024-12-03 12h02.25.947562 +0100,
1.3,reproduction,0,5,5,33,48.14118510000117,,48.14118510000117,48.64689420000104,49.12911890000032,50.434608699999444,50.92857999999978,51.43430520000038,103,52.257710699999734,0.752761300000202,1.834746799999266,,,0.9,0,0,53.010819700000866,54.01010090000091,54.01011049999943,55.00979279999956,55.00980200000049,55.009856599999694,52.28111160000117,,,,,,,,s08,F,22,2024-12-03_12h01.57.187,seq_tasks_v2023,2023.2.3,85.0071235976218,2024-12-03 12h02.25.947562 +0100,
1.1,following,0,6,6,10,55.0214605000001,,55.0214605000001,55.527252100000624,56.00938839999981,57.11493200000041,57.608929899999566,58.11464100000012,40,0,0,0,59.102580099999614,60.00818910000089,0.9,59.067421300000206,0.9290734999995038,59.996635600000445,60.996231900000566,60.996241900000314,61.995955700000195,61.99596620000011,61.99602439999944,,,,,,,,,s08,F,22,2024-12-03_12h01.57.187,seq_tasks_v2023,2023.2.3,85.0071235976218,2024-12-03 12h02.25.947562 +0100,
1.4,reproduction,0,7,7,6,62.00758610000048,,62.00758610000048,62.513313299999936,62.99551969999993,64.39509610000096,64.88906450000104,65.39480290000029,35,65.93594010000015,0.976189400000294,1.5524662999996508,,,1.2999999999999998,0,0,66.91248720000112,67.91178200000104,67.91179229999943,68.91148179999982,68.91149150000092,68.91154670000105,65.95933130000049,,,,,,,,s08,F,22,2024-12-03_12h01.57.187,seq_tasks_v2023,2023.2.3,85.0071235976218,2024-12-03 12h02.25.947562 +0100,
0.8,following,0,8,8,21,68.92314629999964,,68.92314629999964,69.42887169999995,69.9110782000007,70.71083259999978,71.2048049999994,71.71116110000003,3,0,0,0,72.69846010000037,73.49823130000004,0.8,72.42872250000073,1.057820799998808,73.48668429999998,74.48627160000069,74.48628160000044,75.48597270000027,75.4859835999996,75.486040400001,,,,,,,,,s08,F,22,2024-12-03_12h01.57.187,seq_tasks_v2023,2023.2.3,85.0071235976218,2024-12-03 12h02.25.947562 +0100,
1.4,reproduction,0,9,9,48,75.49762820000069,,75.49762820000069,76.00335910000103,76.48556389999976,77.8851367999996,78.37910999999986,78.88484009999956,54,79.52006799999981,0.6115984999996726,1.646559699998761,,,1.2,0,0,80.13187710000057,81.13132020000012,81.13133000000016,82.13106490000064,82.13107579999996,82.1311366000009,79.54346369999985,,,,,,,,s08,F,22,2024-12-03_12h01.57.187,seq_tasks_v2023,2023.2.3,85.0071235976218,2024-12-03 12h02.25.947562 +0100,
1.1,following,0,10,10,52,82.142684800001,,82.142684800001,82.64839770000071,83.13061610000113,84.23614840000118,84.73013270000047,85.23584140000094,150,0,0,0,86.2237978000012,87.62337760000082,1.4,86.04750740000054,1.5641756999993959,87.61182370000097,88.61141280000083,88.61142280000058,89.61111460000029,89.61112400000093,89.61117770000055,,,,,,,,,s08,F,22,2024-12-03_12h01.57.187,seq_tasks_v2023,2023.2.3,85.0071235976218,2024-12-03 12h02.25.947562 +0100,
1.2,following,0,11,11,25,89.62277600000016,,89.62277600000016,90.12850210000033,90.61070400000062,91.81032570000025,92.30429949999962,92.8100441000006,41,0,0,0,93.79798310000115,94.7035909999995,0.9,93.45708360000026,1.3289246999993338,94.78623300000072,95.78568219999943,95.78569190000053,96.78545470000063,96.78546500000084,96.7855228999997,,,,,,,,,s08,F,22,2024-12-03_12h01.57.187,seq_tasks_v2023,2023.2.3,85.0071235976218,2024-12-03 12h02.25.947562 +0100,
1.3,following,0,12,12,26,96.79708140000002,,96.79708140000002,97.3028032000002,97.7850053000002,99.09049550000054,99.58447119999983,100.09020009999949,18,0,0,0,101.07813280000119,102.07783250000102,1.0,101.18411390000074,0.8820398999996542,102.066299600001,103.06586830000015,103.06587790000049,104.06556459999956,104.06557450000037,104.06562810000105,,,,,,,,,s08,F,22,2024-12-03_12h01.57.187,seq_tasks_v2023,2023.2.3,85.0071235976218,2024-12-03 12h02.25.947562 +0100,
0.8,reproduction,0,13,13,14,104.07722950000061,,104.07722950000061,104.58303929999965,105.06516490000104,105.86492410000028,106.35889739999948,106.86460989999978,84,107.49985329999981,0.22347810000064783,1.6465342999999848,,,1.2999999999999998,0,0,107.7237084999997,108.72299060000114,108.72300209999958,109.72267699999975,109.72268609999992,109.72274010000001,107.52325980000023,,,,,,,,s08,F,22,2024-12-03_12h01.57.187,seq_tasks_v2023,2023.2.3,85.0071235976218,2024-12-03 12h02.25.947562 +0100,
0.9,reproduction,0,14,14,29,109.7343462000008,,109.7343462000008,110.24006130000089,110.7222780000011,111.6278753000006,112.12185909999971,112.62758539999959,56,113.39218930000061,0.1881945999994059,1.7759304999999586,,,0.8,0,0,113.58073460000014,114.58002010000018,114.58002990000023,115.57973309999943,115.57974289999947,115.57979449999948,113.41558389999955,,,,,,,,s08,F,22,2024-12-03_12h01.57.187,seq_tasks_v2023,2023.2.3,85.0071235976218,2024-12-03 12h02.25.947562 +0100,
0.8,reproduction,0,15,15,28,115.59139789999972,,115.59139789999972,116.09713949999968,116.57933390000107,117.37909810000019,117.87306390000049,118.37879070000054,154,119.04928420000033,0.2941030000001774,1.6818184000003384,,,1.0,0,0,119.34378020000077,120.3429971000005,120.34300699999949,121.34269350000068,121.34270330000072,121.34275720000005,119.07270369999969,,,,,,,,s08,F,22,2024-12-03_12h01.57.187,seq_tasks_v2023,2023.2.3,85.0071235976218,2024-12-03 12h02.25.947562 +0100,
1.3,following,0,16,16,40,121.35434639999949,,121.35434639999949,121.86008109999966,122.34228579999944,123.64778380000098,124.14173730000039,124.6474517000006,136,0,0,0,125.6354265000009,127.03500110000095,1.4,126.27065500000026,0.9409111999993911,127.21191050000016,128.21121680000033,128.2112264999996,129.2109015999995,129.2109113000006,129.21096810000017,,,,,,,,,s08,F,22,2024-12-03_12h01.57.187,seq_tasks_v2023,2023.2.3,85.0071235976218,2024-12-03 12h02.25.947562 +0100,
1.1,following,0,17,17,38,129.22256779999952,,129.22256779999952,129.7282935000003,130.2104999000003,131.31606490000013,131.8100316,132.31576219999988,119,0,0,0,133.3036959000001,134.103463200001,0.8,133.16267499999958,0.9290881000015361,134.09190490000037,135.09151530000054,135.09152689999974,136.09118510000008,136.09119480000118,136.0912490999999,,,,,,,,,s08,F,22,2024-12-03_12h01.57.187,seq_tasks_v2023,2023.2.3,85.0071235976218,2024-12-03 12h02.25.947562 +0100,
0.9,reproduction,0,18,18,1,136.10286050000104,,136.10286050000104,136.6085777999997,137.09078989999944,137.99639840000054,138.4903785000006,138.99609620000047,106,140.56046179999976,0.6821503000010125,2.575697799999034,,,1.4,0,0,141.2429430000011,142.2422759000001,142.2422858000009,143.24196669999947,143.24197640000057,143.24202979999973,140.5838498000012,,,,,,,,s08,F,22,2024-12-03_12h01.57.187,seq_tasks_v2023,2023.2.3,85.0071235976218,2024-12-03 12h02.25.947562 +0100,
1.3,reproduction,0,19,19,47,143.25363520000064,,143.25363520000064,143.75935460000073,144.24157130000094,145.54705939999985,146.04102820000116,146.5467578000007,49,147.3113572000002,0.4939835999994102,1.7759299999997893,,,1.2,0,0,147.805701700001,148.80499539999983,148.80500519999987,149.80468819999987,149.8046978000002,149.8047501000001,147.33475510000062,,,,,,,,s08,F,22,2024-12-03_12h01.57.187,seq_tasks_v2023,2023.2.3,85.0071235976218,2024-12-03 12h02.25.947562 +0100,
1.3,following,0,20,20,54,149.81635730000016,,149.81635730000016,150.32208619999983,150.8042848999994,152.10978109999996,152.6037524000003,153.1094793000011,3,0,0,0,154.0974180000012,154.89715849999993,0.8,153.96816709999985,1.11730340000031,155.0857028999999,156.08515029999944,156.08515989999978,157.0848447999997,157.08485440000004,157.0849075999995,,,,,,,,,s08,F,22,2024-12-03_12h01.57.187,seq_tasks_v2023,2023.2.3,85.0071235976218,2024-12-03 12h02.25.947562 +0100,
