duration,cue,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,fixation.started,fixation.stopped,stimulus_grating.started,stimulus_grating.stopped,cue_word.started,cue_word.stopped,reproduced_grating.started,orientation,rpr_onset,rpr_duration,cue2rep_rt,follow_stimuli,follow_key_onset,follow_production,feedback.started,feedback.stopped,iti.started,iti.stopped,BlockInfo.started,BlockInfo.stopped,follow_grating.started,follow_grating.stopped,Goodbye.started,goodbye_text.started,goodbye_key.started,Goodbye.stopped,goodbye_key.keys,goodbye_key.rt,goodbye_key.duration,participant,gender (M/F),age,date,expName,psychopyVersion,frameRate,expStart,
0.9,reproduction,0,0,0,1,42.233967199999825,,42.233967199999825,42.73882539999977,43.22164580000026,44.12668230000054,44.620611700000154,45.12633310000092,45.73849330000121,90,45.71453250000013,1.3409511999998358,1.5990787999999156,1.0,0,0,47.05582610000056,48.05496090000088,48.05497319999995,49.05464410000059,49.05465379999987,49.05471260000013,,,,,,,,,,s14,F,22,2024-12-05_11h48.26.774,seq_tasks_v2023,2023.2.3,85.00640098241367,2024-12-05 12h17.02.196346 +0100,
1.1,following,0,1,1,10,49.06630420000147,,49.06630420000147,49.57203830000071,50.05426510000143,51.15983360000064,51.65378480000072,52.15950210000119,,38,0,0,0,1.2,53.13582320000023,1.1995915999996214,54.33555739999974,55.33514500000092,55.33515460000126,56.334832700000334,56.33484310000131,56.33489759999975,53.14744659999997,54.347087699999975,,,,,,,,s14,F,22,2024-12-05_11h48.26.774,seq_tasks_v2023,2023.2.3,85.00640098241367,2024-12-05 12h17.02.196346 +0100,
0.8,reproduction,0,2,2,42,56.34650210000109,,56.34650210000109,56.852226099999825,57.33444419999978,58.134177400001136,58.62814679999974,59.133875100000296,59.49847580000096,171,59.47509210000135,0.8468231999995623,1.3525429000001168,0.8,0,0,60.32227310000053,61.321558300000106,61.32156800000121,62.321266700000706,62.32127639999999,62.32133190000059,,,,,,,,,,s14,F,22,2024-12-05_11h48.26.774,seq_tasks_v2023,2023.2.3,85.00640098241367,2024-12-05 12h17.02.196346 +0100,
1.2,reproduction,0,3,3,32,62.33290670000133,,62.33290670000133,62.8386401000007,63.320865499999854,64.52050360000067,65.01445150000109,65.52019889999974,66.47284010000112,68,66.44943400000011,0.776289600000382,1.9405561999992642,1.2,0,0,67.2261649000011,68.22534540000015,68.22535560000142,69.22505270000147,69.22506290000092,69.22512270000152,,,,,,,,,,s14,F,22,2024-12-05_11h48.26.774,seq_tasks_v2023,2023.2.3,85.00640098241367,2024-12-05 12h17.02.196346 +0100,
1.2,reproduction,0,4,4,4,69.23672009999973,,69.23672009999973,69.74245740000151,70.2246492000013,71.42428749999999,71.91826290000063,72.42399900000055,72.97676769999998,178,72.95336060000045,0.5528135999993538,1.540693700000702,0.8,0,0,73.5065349000015,74.50580900000023,74.50581950000014,75.50550570000087,75.50551570000061,75.50557050000134,,,,,,,,,,s14,F,22,2024-12-05_11h48.26.774,seq_tasks_v2023,2023.2.3,85.00640098241367,2024-12-05 12h17.02.196346 +0100,
1.1,following,0,5,5,38,75.51717650000137,,75.51717650000137,76.02289200000087,76.50511449999976,77.61066440000104,78.1046161000013,78.6103574000008,,118,0,0,0,1.1,79.339694100001,1.3524696999993466,80.69230609999977,81.69188589999976,81.69189580000057,82.69159039999977,82.69160019999981,82.69165330000033,79.5982995000013,80.70386430000144,,,,,,,,s14,F,22,2024-12-05_11h48.26.774,seq_tasks_v2023,2023.2.3,85.00640098241367,2024-12-05 12h17.02.196346 +0100,
0.8,following,0,6,6,49,82.70325940000112,,82.70325940000112,83.20896940000057,83.69115870000132,84.49092770000061,84.98490370000036,85.49062330000015,,26,0,0,0,1.1,86.21997230000125,1.352472200000193,87.5725837000009,88.57217280000077,88.57218300000022,89.57187800000065,89.57188790000146,89.5719422000002,86.47858880000058,87.58412190000126,,,,,,,,s14,F,22,2024-12-05_11h48.26.774,seq_tasks_v2023,2023.2.3,85.00640098241367,2024-12-05 12h17.02.196346 +0100,
1.1,reproduction,0,7,7,45,89.58352449999984,,89.58352449999984,90.08924310000111,90.57145110000056,91.67700990000048,92.17098140000053,92.67669800000112,93.46469950000028,169,93.44133160000092,0.5998061999998754,1.7759390000010171,1.2,0,0,94.04149599999982,95.04079420000016,95.04080410000097,96.04050060000009,96.04051059999983,96.04056459999993,,,,,,,,,,s14,F,22,2024-12-05_11h48.26.774,seq_tasks_v2023,2023.2.3,85.00640098241367,2024-12-05 12h17.02.196346 +0100,
1.2,following,0,8,8,53,96.05217230000017,,96.05217230000017,96.55788050000046,97.04010830000152,98.23973870000009,98.73371080000106,99.2394228000012,,122,0,0,0,1.2999999999999998,99.9687455000003,1.5524089999998978,101.52130639999996,102.52090769999995,102.52091780000046,103.5206018000008,103.52061270000013,103.52066840000043,100.22736860000077,101.53283830000146,,,,,,,,s14,F,22,2024-12-05_11h48.26.774,seq_tasks_v2023,2023.2.3,85.00640098241367,2024-12-05 12h17.02.196346 +0100,
1.4,reproduction,0,9,9,6,103.53225270000075,,103.53225270000075,104.03797780000059,104.52018670000143,105.9197791000006,106.41373620000013,106.91947640000035,125.81965020000098,13,125.79626830000052,0.10586540000076639,19.8881394,1.1,0,0,125.90248880000036,126.90178080000078,126.90179010000065,127.90147640000032,127.90148600000066,127.90153989999999,,,,,,,,,,s14,F,22,2024-12-05_11h48.26.774,seq_tasks_v2023,2023.2.3,85.00640098241367,2024-12-05 12h17.02.196346 +0100,
